City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
399,Aswan,EG,24.0934,32.907,55.33,44,0,12.88,clear sky
400,Beringovskiy,RU,63.05,179.3167,-13.22,76,34,15.77,scattered clouds
401,Boende,CD,-0.2167,20.8667,75.52,50,55,0.58,broken clouds
402,Cabedelo,BR,-6.9811,-34.8339,81.27,70,0,11.34,clear sky
403,Myslenice,PL,49.8338,19.9383,27.39,90,97,11.86,light snow
404,San Felipe,VE,10.3399,-68.7425,81.41,61,73,9.89,broken clouds
405,Rockport,US,28.0206,-97.0544,51.04,35,0,1.01,clear sky
406,Mutis,CO,6.2262,-77.4044,81.07,83,100,3.65,light rain
407,Cockburn Town,TC,21.4612,-71.1419,78.69,76,0,17.69,clear sky
408,Iskateley,RU,67.6803,53.1512,24.31,96,100,11.97,light snow
409,Baykit,RU,61.67,96.37,-5.42,100,99,1.12,overcast clouds
410,La Ronge,CA,55.1001,-105.2842,-5.55,59,100,13.8,overcast clouds
411,Ugoofaaru,MV,5.6667,73.0,80.11,64,97,6.04,overcast clouds
412,Juba,SS,4.8517,31.5825,80.13,27,100,3.33,overcast clouds
413,Awjilah,LY,29.1081,21.2869,52.57,47,21,2.21,few clouds
414,Andenes,NO,69.3143,16.1194,31.98,80,75,20.71,light snow
415,Tilichiki,RU,60.4667,166.1,-20.81,86,5,8.48,clear sky
416,Christiana,ZA,-27.914,25.1611,75.49,34,62,6.2,broken clouds
417,Buin,CL,-33.7333,-70.75,86.32,13,0,12.01,clear sky
418,Urdoma,RU,61.7533,48.5442,13.26,95,100,5.57,overcast clouds
419,Vila Do Maio,CV,15.1333,-23.2167,72.39,79,100,12.8,overcast clouds
420,Buriti Dos Lopes,BR,-3.175,-41.8669,83.95,88,78,5.48,broken clouds
421,Griffith,US,41.5284,-87.4237,27.14,53,0,1.01,clear sky
422,Bustamante,MX,26.5333,-100.5,51.3,36,36,3.87,scattered clouds
423,Sechura,PE,-5.5569,-80.8222,82.67,54,32,16.82,scattered clouds
424,Gravelbourg,CA,49.8834,-106.5512,21.47,85,83,20.22,broken clouds
425,Abapo,BO,-18.8333,-63.4667,90.46,35,6,15.01,clear sky
426,Mazagao,BR,-0.115,-51.2894,86.05,81,52,5.21,broken clouds
427,Namibe,AO,-15.1961,12.1522,71.53,81,95,7.45,overcast clouds
428,Aktas,KZ,49.7789,72.9608,-2.45,88,70,4.21,broken clouds
429,Jiaonan,CN,35.8786,119.9753,34.47,72,91,6.64,overcast clouds
430,Severo-Yeniseyskiy,RU,60.3725,93.0408,-4.29,100,98,2.86,overcast clouds
431,Ozinki,RU,51.1786,49.6769,18.37,95,100,14.27,overcast clouds
432,Sulangan,PH,11.1373,123.7228,78.57,81,81,11.5,broken clouds
433,Vilyuysk,RU,63.7553,121.6247,-8.16,100,91,2.91,overcast clouds
434,Airai,TL,-8.9266,125.4092,59.85,92,98,2.64,overcast clouds
435,Sorong,ID,-0.8833,131.25,79.02,85,100,5.44,moderate rain
436,Belle Fourche,US,44.6714,-103.8522,44.89,41,24,21.63,few clouds
437,Eregli,TR,37.5133,34.0467,21.88,67,8,5.23,clear sky
438,Limoges,FR,45.75,1.3333,34.36,75,0,12.66,clear sky
439,Gravdal,NO,68.1214,13.5031,33.69,86,75,23.02,broken clouds
440,Sakakah,SA,29.9697,40.2064,41.81,42,0,6.91,clear sky
441,Englewood,US,39.6478,-104.9878,40.98,88,100,1.99,snow
442,Caconda,AO,-13.7333,15.0667,60.84,53,95,4.94,overcast clouds
443,Bredy,RU,52.4153,60.3411,-2.78,100,100,1.9,overcast clouds
444,Khorixas,NA,-20.3667,14.9667,70.21,86,100,14.34,moderate rain
445,Arroyo,ES,41.6096,-4.7969,33.73,73,0,1.99,clear sky
446,Burgeo,CA,47.6167,-57.6152,16.83,76,78,12.33,broken clouds
447,Rincon,US,32.296,-81.2354,40.86,93,100,12.66,light rain
448,Udomlya,RU,57.8794,34.9925,19.98,96,100,5.17,light snow
449,Amarpur,IN,25.0333,86.9,57.74,61,33,2.48,scattered clouds
450,Zacamulpa,MX,19.3564,-99.3333,61.97,36,97,11.9,overcast clouds
451,Sangar,RU,63.9242,127.4739,-24.92,97,99,4.7,overcast clouds
452,Jardim,BR,-21.4803,-56.1381,79.34,71,68,4.56,broken clouds
453,Cabo San Lucas,MX,22.8909,-109.9124,78.62,45,0,5.99,clear sky
454,Dondo,MZ,-19.6094,34.7431,73.49,79,0,6.91,light rain
455,Konongo,GH,6.6167,-1.2167,74.55,31,8,1.21,clear sky
456,Nangong,CN,37.3581,115.3744,27.55,97,100,3.87,light snow
457,Nizhniy Kuranakh,RU,58.8353,125.4869,-1.82,99,100,2.59,overcast clouds
458,Fukue,JP,32.6881,128.8419,48.45,58,88,3.65,overcast clouds
459,Bishop Auckland,GB,54.6555,-1.6771,42.37,87,6,5.14,clear sky
460,Narsaq,GL,60.9167,-46.05,10.62,67,94,11.34,overcast clouds
461,Panaba,MX,21.2833,-88.2667,84.61,48,76,1.25,broken clouds
462,Sao Felix Do Xingu,BR,-6.6447,-51.995,82.04,78,68,3.24,heavy intensity rain
463,Viedma,AR,-40.8135,-62.9967,82.53,16,0,7.14,clear sky
464,Khilok,RU,51.3674,110.4676,-6.12,100,79,2.06,broken clouds
465,Aryiropoulion,GR,39.8333,22.3,32.85,95,100,3.13,snow
466,Muzhi,RU,65.3667,64.6667,-0.09,98,91,4.34,overcast clouds
467,Ahipara,NZ,-35.1667,173.1667,69.48,56,5,3.22,clear sky
468,Teahupoo,PF,-17.8333,-149.2667,76.53,75,100,10.87,light rain
469,Acajutla,SV,13.5928,-89.8275,93.79,55,0,7.47,clear sky
470,Kushima,JP,31.4583,131.2333,40.87,82,41,5.01,scattered clouds
471,Atagay,RU,55.1033,99.3875,-5.73,100,100,2.48,overcast clouds
472,Amapa,BR,1.0,-52.0,74.66,97,89,3.0,overcast clouds
473,Uarini,BR,-2.99,-65.1083,84.15,84,100,2.48,overcast clouds
474,Mana,GF,5.6592,-53.7767,77.63,88,93,10.94,light rain
475,Matara,LK,5.9485,80.5353,71.91,82,55,1.86,broken clouds
476,Canutama,BR,-6.5339,-64.3831,80.24,92,100,1.43,moderate rain
477,Faanui,PF,-16.4833,-151.75,80.89,76,100,14.27,light rain
