City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,San Ramon,37.7799,-121.978,65.68,38,0,5.99,US,2022-01-21 19:40:46
101,Kattivakkam,13.2167,80.3167,77.09,89,8,6.42,IN,2022-01-21 19:44:30
102,Itoman,26.1247,127.6694,60.82,72,75,4.61,JP,2022-01-21 19:44:30
103,Kodiak,57.79,-152.4072,44.11,76,100,26.46,US,2022-01-21 19:38:00
104,Mana,5.6592,-53.7767,78.48,87,90,11.7,GF,2022-01-21 19:44:30
105,Chuy,-33.6971,-53.4616,83.52,70,70,15.93,UY,2022-01-21 19:35:19
106,Karratha,-20.7377,116.8463,83.23,70,45,10.76,AU,2022-01-21 19:44:31
107,Lavrentiya,65.5833,-171.0,2.64,94,100,22.79,RU,2022-01-21 19:44:31
108,Minas De Barroteran,27.6333,-101.2833,46.36,31,8,4.99,MX,2022-01-21 19:44:31
109,Storforshei,66.4043,14.5233,18.66,85,75,2.3,NO,2022-01-21 19:44:32
110,Olden,61.8364,6.8064,36.91,99,94,4.68,NO,2022-01-21 19:44:32
111,Valparaiso,-33.0393,-71.6273,79.03,38,0,8.05,CL,2022-01-21 19:42:09
112,Monster,52.0258,4.175,43.99,77,75,10.0,NL,2022-01-21 19:44:33
113,Puerto Colombia,10.9878,-74.9547,86.09,71,0,21.36,CO,2022-01-21 19:44:33
114,Salalah,17.0151,54.0924,75.29,33,15,29.93,OM,2022-01-21 19:44:33
115,Cukai,4.25,103.4167,75.34,90,54,6.44,MY,2022-01-21 19:44:34
116,Hami,42.8,93.45,26.01,48,74,4.56,CN,2022-01-21 19:44:34
117,Georgetown,5.4112,100.3354,78.75,88,20,3.0,MY,2022-01-21 19:35:38
118,Namibe,-15.1961,12.1522,71.89,80,93,6.91,AO,2022-01-21 19:44:35
119,Batticaloa,7.7102,81.6924,72.12,72,97,4.56,LK,2022-01-21 19:44:35
120,Meybod,32.2501,54.0166,33.82,27,0,6.73,IR,2022-01-21 19:44:36
121,Dhidhdhoo,6.8833,73.1,80.33,65,100,5.08,MV,2022-01-21 19:44:36
122,Urengoy,65.9667,78.3667,0.46,98,47,9.44,RU,2022-01-21 19:44:36
123,Norrkoping,58.5942,16.1826,27.03,62,0,6.91,SE,2022-01-21 19:44:37
124,Xichang,27.8964,102.2634,42.48,89,93,1.9,CN,2022-01-21 19:44:37
125,Filingue,14.3521,3.3168,68.36,10,0,10.76,NE,2022-01-21 19:44:37
